symbol,shares_outstanding
GOCOLORS,52595984
GODAVARIB,51175977
GODFRYPHLP,155981760
GODIGIT,924499031
GODREJAGRO,192411390
GODREJCP,1023304953
GODREJIND,336851055
GODREJPROP,301226497
GOKEX,73277628
GOKUL,98995000
GOKULAGRO,295086716
GOLDIAM,150557125
GOODLUCK,99715527
GOODYEAR,23066507
GOPAL,124666819
GOYALALUM,142732780
GPIL,650738965
GPPL,483625818
GPTHEALTH,82054823
GPTINFRA,126364600
GRANDOAK,518883550
GRANULES,272779827
GRAPHITE,195375594
GRASIM,678252757
GRAUWEIL,453411500
GRAVITA,72836912
GREAVESCOT,232951434
GREENLAM,255147702
GREENPANEL,122627395
GREENPLY,124902045
GREENPOWER,1173031669
GRINDWELL,110720000
GRINFRA,96760529
GRMOVER,207523860
GROBTEA,1162330
GROWW,6191576922
GRPLTD,5333332
GRSE,114552000
GRWRHITECH,23232394
GSFC,398477530
GSLSU,42381818
GSPCROP,46518750
GSS,25806843
GTECJAINX,10189098
GTL,157296781
GTLINFRA,12809411532
GTPL,112463038
GUFICBIO,100282506
GUJALKALI,73436928
GUJAPOLLO,12970000
GUJENERGY,938230849
GUJTHEM,130151705
GULFOILLUB,49555526
GULPOLY,62183424
GVPIL,67227471
GVT&D,256046535
GYFTR,76808250
HAL,668775000
HALDER,12438135
HALEOSLABS,3023287
HAPPSTMNDS,150261936
HAPPYFORGE,94401146
HARDWYN,683807676
HARIOMPIPE,30967289
HARRMALAYA,18455405
HARSHA,91044105
HATHWAY,1770104500
HATSUN,222748268
HAVELLS,627561652
HAVISHA,303341789
HAWKINCOOK,5287815
HAZOOR,288172000
HBLENGINE,277194946
HBPOR,10764230
HBSL,7137665
HCC,2619468062
HCG,149302203
HCL-INSYS,329209928
HCLTECH,2705766714
HDBFS,828454614
HDFCAMC,429073398
HDFCBANK,15416579832
HDFCLIFE,2172049147
HEADSUP,22082609
HEALTHX,31810500
HECPROJECT,10838160
HEIDELBERG,226631309
HEMIPROP,285124736
HERANBA,40013467
HERITGFOOD,92796000
HEROMOTOCO,200141207
HESTERBIO,8506865
HEXATRADEX,55244704
HEXT,609791999
HGINFRA,65171111
HGM,12594972
HGS,46520285
HIKAL,123300750
HILINFRA,71720632
HILTON,51466551
HIMATSEIDE,125742289
HINDADH,5116300
HINDALCO,2219837078
HINDCOMPOS,14769000
HINDCON,51190625
HINDCOPPER,967024020
HINDOILEXP,132243289
HINDPETRO,2127822517
HINDUNILVR,2349591262
HINDWAREAP,83646357
HINDZINC,4225319000
HIRECT,34372239
HISARMETAL,5400000
HITECH,202710234
HLEGLAS,69454739
HLVLTD,659259899
