symbol,series,isin,name
AARTIPHARM,EQ,INE0LRU01027,AARTI PHARMALABS LIMITED
AARVI,EQ,INE754X01016,AARVI ENCON LIMITED
AASTHA,EQ,INE2FMX01012,AASTHA SPINTEX LIMITED
AAVAS,EQ,INE216P01012,AAVAS FINANCIERS LIMITED
ABANSENT,EQ,INE365O01028,ABANS ENTERPRISES LTD.
ABB,EQ,INE117A01022,ABB INDIA LIMITED
ABBOTINDIA,EQ,INE358A01014,ABBOTT INDIA LIMITED
ABCAPITAL,EQ,INE674K01013,ADITYA BIRLA CAPITAL LTD.
ABCOTS,EQ,INE08PH01015,A B COTSPIN INDIA LIMITED
ABDL,EQ,INE552Z01027,ALLIED BLEND N DISTILS L
ABFRL,EQ,INE647O01011,ADITYA BIRLA FASHION & RT
ABGSEC,EQ,INF209KC1134,BIRLASLAMC - ABGSEC
ABLBL,EQ,INE14LE01019,ADITYA BIRLA LIFES BRAN L
ABMKNO,EQ,INE850B01026,A B M KNOWLEDGEWARE LTD.
ABREL,EQ,INE055A01016,ADITYA BIRLA REAL EST LTD
ABSL10BANK,EQ,INF209KC1670,BIRLASLAMC - ABSL10BANK
ABSLAMC,EQ,INE404A01024,ADIT BIRL SUN LIF AMC LTD
ABSLBANETF,EQ,INF209KB17D5,BIRLASLAMC - ABSLBANETF
ABSLLIQUID,EQ,INF209KB18T9,BIRLASLAMC - ABSLLIQUID
ABSLMSCIN,EQ,INF209KC1662,BIRLASLAMC - ABSLMSCIN
ABSLNN50ET,EQ,INF209KB16D7,BIRLASLAMC - ABSLNN50ET
ABSLPSE,EQ,INF209KB19Z4,BIRLASLAMC-ABSLPSE
ACC,EQ,INE012A01025,ACC LIMITED
ACCELYA,EQ,INE793A01012,ACCELYA SOLN INDIA LTD
ACE,EQ,INE731H01025,ACTION CONST EQUIP LTD
ACEINTEG,EQ,INE543V01017,ACE INTEGRATED SOLU. LTD.
ACGL,EQ,INE451C01013,AUTOMOBILE CORPN OF GOA L
ACI,EQ,INE128X01021,ARCHEAN CHEMICAL IND LTD
ACL,EQ,INE666E01020,ANDHRA CEMENTS LIMITED
ACMESOLAR,EQ,INE622W01025,ACME SOLAR HOLDINGS LTD
ACUTAAS,EQ,INE00FF01025,ACUTAAS CHEMICALS LIMITED
ADANIENSOL,EQ,INE931S01010,ADANI ENERGY SOLUTION LTD
ADANIENT,EQ,INE423A01024,ADANI ENTERPRISES LIMITED
ADANIGREEN,EQ,INE364U01010,ADANI GREEN ENERGY LTD
ADANIPORTS,EQ,INE742F01042,ADANI PORT & SEZ LTD
ADANIPOWER,EQ,INE814H01029,ADANI POWER LTD
ADDIND,EQ,INE757C01021,ADDI INDUSTRIES LTD.
ADFFOODS,EQ,INE982B01027,ADF FOODS LIMITED
ADL,EQ,INE0CHO01012,ARCHIDPLY DECOR LIMITED
ADOR,EQ,INE045A01017,ADOR WELDING LTD
ADROITINFO,EQ,INE737B01033,ADROIT INFOTECH LIMITED
ADSL,EQ,INE102I01027,ALLIED DIGITAL SERV. LTD
ADVAIT,EQ,INE0ALI01010,ADVAIT ENRGY TRANSITION L
ADVANCE,EQ,INE1B0W01010,ADVANCE AGROLIFE LIMITED
ADVANIHOTR,EQ,INE199C01026,ADVANI HOT.& RES.(I) LTD
ADVENTHTL,EQ,INE28GN01010,ADVENT HOTELS INTERNATI L
ADVENZYMES,EQ,INE837H01020,ADVANCED ENZYME TECH LTD
ADVIKCA,EQ,INE178T01024,ADVIK CAPITAL LTD.
AEGISLOG,EQ,INE208C01025,AEGIS LOGISTICS LIMITED
AEGISVOPAK,EQ,INE0INX01018,AEGIS VOPAK TERMINALS LTD
AEPL,EQ,INE757T01025,ARTEMIS ELECTRICALS & P L
AEQUS,EQ,INE947N01017,AEQUS LIMITED
AEROENTER,EQ,INE065D01027,AEROFLEX ENTERPRISES LTD
AEROFLEX,EQ,INE024001021,AEROFLEX INDUSTRIES LTD
AERONEU,EQ,INE035801013,AEROFLEX NEU LIMITED
AEROPLANE,EQ,INE05TO01019,AMIR CHAND JAG KUM (E) L
AETHER,EQ,INE0BWX01014,AETHER INDUSTRIES LIMITED
AFCONS,EQ,INE101I01011,AFCONS INFRASTRUCTURE LTD
AFFLE,EQ,INE00WC01027,AFFLE 3I LIMITED
AFFORDABLE,EQ,INE692Z01013,AFFORD ROBO & AUTO LTD
